
--- [START 2020-03-10_11-02-54] ----------------------------------------------------------------

@common.py:
set random seed
	SEED = 2019
set cuda environment
	torch.__version__              = 1.4.0
	torch.version.cuda             = 10.1
	torch.backends.cudnn.version() = 7603
	os['CUDA_VISIBLE_DEVICES']     = 0,1
	torch.cuda.device_count()      = 2



SEED     = 2019
out_dir  = results/seresnext101/initial_head_seresnext101_combined_crossentropy_sgd_lr0.0457_224to224_mixup0.4_DAda7b_MinLr0.0457_MaxLr0.0457_steps_gradClipping1.0_PRETRAINED_ApplySWA

** dataset setting **
batch_size = 50
train_dataset : 
	len = 180756


valid_dataset : 
	len = 20084



** net setting **
	initial_checkpoint = best_model.pth
net=<class 'torch.nn.parallel.data_parallel.DataParallel'>

optimizer
  SWA (
Parameter Group 0
    dampening: 0
    lr: 0.0457
    momentum: 0.0
    n_avg: 0
    nesterov: False
    step_counter: 0
    weight_decay: 0.0
)
scheduler
  (Exp) Decay Learning Rates
base_lr=0.046, decay=0.100, step=150.000

epochs=96
batch_size=50

mixup_prob=0.00
mixup_alpha=0.40
cutmix_prob=0.00
cutmix_alpha=1.00
grad_clip=1.000000

** START TRAINING HERE! **


                |----------------------- VALID------------------------------------|------- TRAIN/BATCH ----
epoch     rate  | kaggle                    | loss               acc              | loss   | time       
 32  0.0457000  | 0.980 : 0.970 0.992 0.989 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0025 |24 hr 26 min
 33  0.0457000  | 0.980 : 0.970 0.992 0.989 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0025 |25 hr 09 min
 34  0.0457000  | 0.982 : 0.973 0.992 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0024 |25 hr 55 min
 35  0.0457000  | 0.982 : 0.975 0.991 0.987 | 0.10, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0024 |26 hr 40 min
 36  0.0457000  | 0.981 : 0.972 0.992 0.990 | 0.11, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0024 |27 hr 24 min
 37  0.0457000  | 0.981 : 0.971 0.992 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0023 |28 hr 09 min
 38  0.0457000  | 0.981 : 0.971 0.991 0.990 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0023 |28 hr 54 min
 39  0.0457000  | 0.981 : 0.973 0.991 0.985 | 0.10, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0022 |29 hr 38 min
 40  0.0457000  | 0.982 : 0.973 0.992 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0022 |30 hr 23 min
 41  0.0457000  | 0.980 : 0.974 0.991 0.982 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0022 |31 hr 08 min
 42  0.0457000  | 0.980 : 0.971 0.991 0.988 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0022 |31 hr 52 min
 43  0.0457000  | 0.980 : 0.972 0.991 0.986 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0022 |32 hr 38 min
 44  0.0457000  | 0.979 : 0.971 0.991 0.984 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0021 |33 hr 21 min
 45  0.0457000  | 0.982 : 0.973 0.993 0.988 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0021 |34 hr 07 min
 46  0.0457000  | 0.979 : 0.970 0.991 0.986 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0021 |34 hr 52 min
 47  0.0457000  | 0.980 : 0.973 0.991 0.982 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0021 |35 hr 35 min
 48  0.0457000  | 0.981 : 0.973 0.993 0.983 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0021 |36 hr 20 min
 49  0.0457000  | 0.980 : 0.973 0.992 0.983 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0020 |37 hr 07 min
 50  0.0457000  | 0.979 : 0.973 0.992 0.979 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0020 |37 hr 51 min
